date,near_symbol,far_symbol,source_update,near_open,far_open,near_high,far_high,near_low,far_low,near_close,far_close,near_settle,far_settle,near_pre_settle,far_pre_settle,near_volume,far_volume,near_open_interest,far_open_interest,near_oi_change,far_oi_change,close_spread,settle_spread
2025-12-01,sc2610,sc2611,20251201 15:26:52,460.1,,460.1,,460.1,,460.1,457.1,460.1,457.1,456.5,456.3,1,0,105,7,0,0,3.0,3.0
2025-12-02,sc2610,sc2611,20251202 15:23:51,457.9,,457.9,,455,,455.3,456.4,455.6,456.4,460.1,457.1,27,0,107,7,2,0,-1.099999999999966,-0.7999999999999545
2025-12-03,sc2610,sc2611,20251203 15:28:54,453.6,453.8,453.6,453.8,447.8,451.2,450.1,451.2,449.3,452.5,455.6,456.4,84,2,169,8,62,1,-1.099999999999966,-3.1999999999999886
2025-12-04,sc2610,sc2611,20251204 15:22:55,453.4,,453.4,,450.8,,453.3,452.5,452.3,452.5,449.3,452.5,24,0,177,8,8,0,0.8000000000000114,-0.19999999999998863
2025-12-05,sc2610,sc2611,20251205 15:21:57,453.3,453.4,454.4,453.4,449.2,453.4,453.1,453.4,452.1,453.4,452.3,452.5,95,1,212,8,35,0,-0.2999999999999545,-1.2999999999999545
2025-12-08,sc2610,sc2611,20251208 15:24:35,456.9,457,458,457,454.2,457,456.6,457,456.3,457,452.1,453.4,35,1,220,8,8,0,-0.39999999999997726,-0.6999999999999886
2025-12-09,sc2610,sc2611,20251209 15:33:35,451.6,451.5,452.3,451.5,445.6,451.5,447.7,451.5,448,451.5,456.3,457,103,1,289,7,69,-1,-3.8000000000000114,-3.5
2025-12-10,sc2610,sc2611,20251210 15:28:06,448.6,,448.6,,444.3,,445.4,446.7,445.2,446.7,448,451.5,28,0,293,7,4,0,-1.3000000000000114,-1.5
2025-12-11,sc2610,sc2611,20251211 15:26:01,445.4,447.2,446.7,447.2,441.4,443.4,443.5,443.4,444.2,445.3,445.2,446.7,156,2,421,9,128,2,0.10000000000002274,-1.1000000000000227
2025-12-12,sc2610,sc2611,20251212 15:25:01,443.4,443.4,443.5,443.4,439.2,439,442.6,441.6,441.9,441.4,444.2,445.3,125,4,516,11,95,2,1.0,0.5
2025-12-15,sc2610,sc2611,20251215 15:57:01,441,439,441.1,439.3,437.5,439,438.4,439.3,439.3,439.1,441.9,441.4,143,2,638,12,122,1,-0.9000000000000341,0.19999999999998863
2025-12-16,sc2610,sc2611,20251216 15:28:01,438,436,438,436,431.5,432.7,432.3,432.7,433.5,433.5,439.3,439.1,191,4,729,13,91,1,-0.39999999999997726,0.0
2025-12-17,sc2610,sc2611,20251217 15:21:01,429.9,429.4,430.1,430.9,426.8,427.4,430.1,429.8,428.4,429.4,433.5,433.5,64,6,765,15,36,2,0.30000000000001137,-1.0
2025-12-18,sc2610,sc2611,20251218 15:56:01,431.8,432,434.3,432,427.9,432,430.3,432,430.3,432,428.4,429.4,32,2,768,15,3,0,-1.6999999999999886,-1.6999999999999886
2025-12-19,sc2610,sc2611,20251219 15:26:03,431.2,,431.5,,427.7,,428.9,432,429.3,432,430.3,432,16,0,769,15,1,0,-3.1000000000000227,-2.6999999999999886
2025-12-22,sc2610,sc2611,20251222 15:26:08,431.5,,440.2,,431.5,,440,438.5,438.9,438.5,429.3,432,54,0,773,15,4,0,1.5,0.39999999999997726
2025-12-23,sc2610,sc2611,20251223 15:27:06,443.2,442.4,444.5,443.9,437,441.4,443.3,443.9,443,442.5,438.9,438.5,286,3,788,15,15,0,-0.5999999999999659,0.5
