pair_year,date,near_symbol,far_symbol,source_update,near_open,far_open,near_high,far_high,near_low,far_low,near_close,far_close,near_settle,far_settle,near_pre_settle,far_pre_settle,near_volume,far_volume,near_open_interest,far_open_interest,near_oi_change,far_oi_change,close_spread,settle_spread
2020,2020-06-17,sc2010,sc2011,20200617 19:56:35,319.5,330,322.4,330.5,313.7,322,316.6,324.3,317.9,326,309,318.2,7817,2631,12049,5682,-61,63,-7.699999999999989,-8.100000000000023
2020,2020-06-18,sc2010,sc2011,20200618 19:56:38,316.9,324.3,318.7,326.6,315.1,323,317.1,325.3,317,324.9,317.9,326,5201,2048,12497,5826,448,144,-8.199999999999989,-7.899999999999977
2020,2020-06-19,sc2010,sc2011,20200619 19:56:41,317.9,326,321.5,328.3,316.3,324.5,320.4,327.2,318.7,326.5,317,324.9,4913,2584,13068,6151,571,325,-6.800000000000011,-7.800000000000011
2020,2020-06-22,sc2010,sc2011,20200622 19:56:42,322.2,328.6,323.7,331.2,315.9,323.8,319.6,327.3,319.9,328.1,318.7,326.5,8515,2234,13681,6133,613,-18,-7.699999999999989,-8.200000000000045
2020,2020-06-23,sc2010,sc2011,20200623 19:56:41,319.6,327.3,324.6,332.5,318.4,326.4,321.2,329.1,321.3,329.4,319.9,328.1,10383,2347,14492,6032,811,-101,-7.900000000000034,-8.099999999999966
2020,2020-06-24,sc2010,sc2011,20200624 19:56:35,322.8,331.8,323.7,331.8,319.3,327.8,321.2,329.6,321.3,329.4,321.3,329.4,5050,2044,14742,6282,250,250,-8.400000000000034,-8.099999999999966
2020,2020-06-29,sc2010,sc2011,20200629 19:56:41,310.9,320,313.9,321.7,305.1,313.2,307.1,316.2,308.8,316.8,321.3,329.4,8127,2536,16101,6702,1359,420,-9.099999999999966,-8.0
2020,2020-06-30,sc2010,sc2011,20200630 19:56:34,310.9,319.3,314.7,322.3,310.6,319.2,313,320.1,313,320.7,308.8,316.8,6882,2126,16712,7101,611,399,-7.100000000000023,-7.699999999999989
2020,2020-07-01,sc2010,sc2011,20200701 19:56:41,312,319.2,314.4,321.9,309.9,317.7,313.2,321.6,312.3,320.1,313,320.7,6807,2366,16784,7072,72,-29,-8.400000000000034,-7.800000000000011
2020,2020-07-02,sc2010,sc2011,20200702 19:56:34,312.9,320.8,319,325.5,311.5,319.6,316.6,324.1,314.8,322,312.3,320.1,7382,2747,16899,7218,115,146,-7.5,-7.199999999999989
2020,2020-07-03,sc2010,sc2011,20200703 19:56:35,317.7,324.7,320,327.5,316.1,323.4,317.8,325.5,318.1,325.4,314.8,322,7084,2526,16655,7224,-244,6,-7.699999999999989,-7.2999999999999545
2020,2020-07-06,sc2010,sc2011,20200706 19:56:41,317.5,324.9,320.4,328.9,314.2,322.3,319.3,327.5,317.6,325.8,318.1,325.4,6437,2803,16710,7029,55,-195,-8.199999999999989,-8.199999999999989
2020,2020-07-07,sc2010,sc2011,20200707 19:56:34,319.3,327.9,321.1,329.3,317.2,326,317.6,326,319.1,327.5,317.6,325.8,7084,2509,16581,7194,-129,165,-8.399999999999977,-8.399999999999977
2020,2020-07-08,sc2010,sc2011,20200708 19:56:42,318.4,326.8,323.5,331.4,317.2,324.6,319.6,326.8,320.1,328.5,319.1,327.5,8303,2452,16597,7195,16,1,-7.199999999999989,-8.399999999999977
2020,2020-07-09,sc2010,sc2011,20200709 19:56:41,320.7,327.9,322.2,330.2,319.6,327.9,320.6,329.3,320.8,329,320.1,328.5,8236,2435,17192,7143,595,-52,-8.699999999999989,-8.199999999999989
2020,2020-07-10,sc2010,sc2011,20200710 19:56:35,321,329.4,322.6,329.8,312.7,321.9,314.1,323.7,315.7,324.4,320.8,329,12962,2997,18780,7263,1588,120,-9.599999999999966,-8.699999999999989
2020,2020-07-13,sc2010,sc2011,20200713 19:56:42,315.1,324.4,319.7,328.6,315.1,324.4,317.8,327,317.9,327.1,315.7,324.4,9379,2385,18778,7370,-2,107,-9.199999999999989,-9.200000000000045
2020,2020-07-14,sc2010,sc2011,20200714 19:56:42,317.6,326.8,318.8,327.8,311.1,320.7,314.5,324.3,314.3,323.5,317.9,327.1,12297,2893,19528,7456,750,86,-9.800000000000011,-9.199999999999989
2020,2020-07-15,sc2010,sc2011,20200715 19:56:41,313.6,323.6,318.2,327.5,312.5,322.3,317.2,326.7,316.3,325.7,314.3,323.5,8423,2233,19012,7359,-516,-97,-9.5,-9.399999999999977
2020,2020-07-16,sc2010,sc2011,20200716 19:56:43,318.4,328.4,319.8,330.1,307.6,318.5,310.5,321.1,314.3,323.9,316.3,325.7,22496,6922,20976,8388,1964,1029,-10.600000000000023,-9.599999999999966
2020,2020-07-17,sc2010,sc2011,20200717 19:56:42,311.1,321.5,313.9,323.7,309.7,320.3,310.2,321.1,311.5,321.7,314.3,323.9,10523,3287,22003,8507,1027,119,-10.900000000000034,-10.199999999999989
2020,2020-07-20,sc2010,sc2011,20200720 19:56:44,310,321.1,312.1,322.7,302.4,314.1,303,315.1,305.8,316.8,311.5,321.7,13595,4394,23775,8961,1772,454,-12.100000000000023,-11.0
2020,2020-07-21,sc2010,sc2011,20200721 19:56:35,303.3,315.1,311.5,322.1,302.7,314.4,308.8,319.1,307.8,319,305.8,316.8,12771,4430,23729,8883,-46,-78,-10.300000000000011,-11.199999999999989
2020,2020-07-22,sc2010,sc2011,20200722 19:56:43,314.2,323.9,315,325.5,309,320,311,321.2,311.8,322.1,307.8,319,14766,4369,24010,8793,281,-90,-10.199999999999989,-10.300000000000011
2020,2020-07-23,sc2010,sc2011,20200723 19:56:43,309.7,319.8,310.8,321.5,307,318.1,310,319.8,309,319.9,311.8,322.1,15124,3839,24477,8841,467,48,-9.800000000000011,-10.899999999999977
2020,2020-07-24,sc2010,sc2011,20200724 19:56:43,307.6,317.9,311.4,321.8,303.6,314.8,305.5,316,307.7,318.6,309,319.9,15946,3990,24952,9044,475,203,-10.5,-10.900000000000034
2020,2020-07-27,sc2010,sc2011,20200727 19:56:44,307.1,317.3,307.8,318.5,302.4,313.9,304,315.4,304.7,315.5,307.7,318.6,15748,4336,25979,8993,1027,-51,-11.399999999999977,-10.800000000000011
2020,2020-07-28,sc2010,sc2011,20200728 19:56:42,305.1,317.6,306.3,317.6,298.3,310.2,300.9,313.6,301.1,313.2,304.7,315.5,20289,4295,27992,9246,2013,253,-12.700000000000045,-12.099999999999966
2020,2020-07-29,sc2010,sc2011,20200729 19:56:43,300.2,312.5,301.4,314.4,298,310.8,300.3,313.5,299.7,312.3,301.1,313.2,18236,6546,28774,10943,782,1697,-13.199999999999989,-12.600000000000023
2020,2020-07-30,sc2010,sc2011,20200730 19:56:41,301.1,313.9,304.5,316.5,300.1,312.8,300.5,313,302,314.4,299.7,312.3,19751,4252,30142,10858,1368,-85,-12.5,-12.399999999999977
2020,2020-07-31,sc2010,sc2011,20200731 19:56:42,297.1,310.8,300.7,313.5,289.8,302.9,296,308.9,296.1,309.1,302,314.4,36210,9840,34352,11035,4210,177,-12.899999999999977,-13.0
2020,2020-08-03,sc2010,sc2011,20200803 19:56:42,296.1,308.6,296.7,309.3,288.1,301.4,289.8,303.2,291.6,304.4,296.1,309.1,30106,6829,39224,12164,4872,1129,-13.399999999999977,-12.799999999999955
2020,2020-08-04,sc2010,sc2011,20200804 19:56:42,291,304.4,293.9,307,289.3,302.9,290.8,304.2,291.9,304.8,291.6,304.4,28816,5480,40563,12665,1339,501,-13.399999999999977,-12.900000000000034
